                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9742,                 7.3355,                 2.6555,                0.00347,                0.40672,                0.12995,                0.10027,                 1.7268,                  7.143,                 2.5204,             0.00025005,             0.00025005,             0.00025005
                      2,                 1.9976,                 5.3671,                 2.5314,                0.00443,                0.41631,                0.16691,                0.11367,                  1.914,                 7.0556,                 2.7097,             0.00051165,             0.00051165,             0.00051165
                      3,                  2.088,                 4.7743,                 2.6094,                0.00517,                 0.4825,                0.14725,                0.08068,                 2.5653,                  6.823,                  3.341,             0.00076798,             0.00076798,             0.00076798
                      4,                 2.0997,                 4.4461,                 2.6021,                0.48349,                0.40832,                0.37639,                0.22754,                 2.6307,                 6.0056,                 3.7785,               0.001019,               0.001019,               0.001019
                      5,                 2.2204,                 4.4264,                 2.7002,                      1,                0.06431,                0.41858,                0.23223,                  2.899,                 5.7631,                 3.8093,              0.0012648,              0.0012648,              0.0012648
                      6,                 2.2984,                 4.4036,                 2.7519,                0.77592,                0.10308,                0.34045,                0.17693,                 2.9323,                 5.7238,                 3.6217,              0.0015053,              0.0015053,              0.0015053
                      7,                 2.2736,                 4.0457,                 2.7041,                0.61077,                0.05739,                0.21615,                0.12019,                 3.3081,                 6.1586,                 3.9554,               0.001568,               0.001568,               0.001568
                      8,                 2.2696,                 3.8141,                 2.6722,                0.58139,                0.34703,                0.39779,                0.21425,                  3.356,                 5.4997,                 3.8638,              0.0015515,              0.0015515,              0.0015515
                      9,                  2.242,                 3.6118,                 2.6386,                0.65418,                0.35768,                0.44673,                0.23297,                 3.2879,                 4.9748,                  4.008,               0.001535,               0.001535,               0.001535
                     10,                 2.2084,                 3.3977,                 2.6248,                0.60869,                 0.4992,                0.50505,                0.26141,                 3.0218,                  4.378,                 3.6379,              0.0015185,              0.0015185,              0.0015185
                     11,                 2.1973,                 3.3741,                 2.6529,                0.58828,                0.53207,                0.51138,                0.30454,                 2.9283,                 4.2445,                 3.7345,               0.001502,               0.001502,               0.001502
                     12,                 2.1279,                 3.1408,                 2.6144,                0.64017,                0.55872,                0.55734,                0.36201,                 2.5386,                 3.5308,                 3.2918,              0.0014855,              0.0014855,              0.0014855
                     13,                 2.1478,                 3.1903,                  2.596,                0.48581,                0.49378,                0.46137,                0.26866,                 2.8325,                 4.6074,                 3.4616,               0.001469,               0.001469,               0.001469
                     14,                 2.1817,                 3.1455,                 2.6224,                0.52881,                0.47024,                0.45431,                0.26409,                 2.6633,                 4.8317,                 3.4719,              0.0014525,              0.0014525,              0.0014525
                     15,                 2.0955,                  2.954,                  2.569,                0.62777,                0.57285,                0.62641,                0.41396,                 2.4632,                 3.8236,                  3.358,               0.001436,               0.001436,               0.001436
                     16,                 2.1868,                 2.8875,                 2.6432,                 0.4553,                0.55991,                0.49366,                0.31216,                 2.6461,                  3.558,                 3.4886,              0.0014195,              0.0014195,              0.0014195
                     17,                  2.075,                 2.7698,                 2.5727,                0.65889,                0.61288,                0.66081,                 0.4534,                 2.3263,                 3.7219,                 2.9803,              0.0014029,              0.0014029,              0.0014029
                     18,                  2.122,                 2.7475,                 2.5765,                0.68858,                0.58658,                0.65023,                0.44046,                 2.3468,                 2.9367,                 2.9728,              0.0013864,              0.0013864,              0.0013864
                     19,                 2.0109,                  2.581,                 2.5201,                0.62607,                0.64331,                0.65954,                0.42928,                 2.4131,                 2.8182,                 2.9509,              0.0013699,              0.0013699,              0.0013699
                     20,                 2.0276,                 2.5277,                 2.4931,                0.73272,                0.58088,                0.62746,                0.41498,                 2.5471,                 2.7222,                 3.2915,              0.0013534,              0.0013534,              0.0013534
